P,A,D,current_hand,original_bet_size,augmented_bet_size
0.5,0.5,0.5,"04, 24",0,N/A
0.5,0.5,0.5,"04, 24",0,N/A
0.8,0.5,0.2,"104, 101",0,N/A
0.8,0.5,0.2,"41, 08",0,N/A
0.8,0.5,0.2,"41, 08",0,N/A
0.8,0.5,0.2,"41, 08",0,N/A
0.8,0.5,0.2,"31, 18",0,N/A
0.8,0.5,0.2,"31, 18",0,N/A
0.8,0.5,0.2,"04, 61",0,N/A
0.8,0.5,0.2,"04, 61",0,N/A
0.8,0.5,0.2,"04, 61",0,N/A
0.8,0.5,0.2,"98, 111",0,N/A
0.8,0.5,0.2,"98, 111",0,N/A
0.8,0.5,0.2,"98, 111",0,N/A
0.8,0.5,0.2,"98, 111",0,N/A
0.8,0.5,0.2,"51, 02",0,N/A
0.8,0.5,0.2,"114, 04",0,N/A
0.8,0.5,0.2,"114, 04",0,N/A
0.8,0.5,0.2,"114, 04",0,N/A
0.8,0.5,0.2,"111, 98",0,N/A
0.8,0.5,0.2,"101, 124",0,N/A
0.8,0.5,0.2,"111, 88",0,N/A
0.8,0.5,0.2,"62, 71",0,N/A
